transcript cod_idx count
YLR044C 75 5718
YGR192C 76 4662
YHR174W 76 1841
YLR044C 76 1207
YGR192C 77 9887
YHR174W 77 7398
YLR044C 77 11502
YGR192C 78 1346
YHR174W 78 1610
YLR044C 78 6036
YGR192C 79 13441
YHR174W 79 634
YLR044C 79 605
YGR192C 80 4609
YHR174W 80 397
YLR044C 80 1294
YGR192C 81 3111
YHR174W 81 325
YLR044C 81 389
YGR192C 82 1949
YHR174W 82 1220
YLR044C 82 1310
YGR192C 83 2614
YHR174W 83 3677
YLR044C 83 198
YGR192C 84 2068
YHR174W 84 0
YLR044C 84 6491
YGR192C 85 29402
YHR174W 85 2385
YLR044C 85 54
YGR192C 86 3333
YHR174W 86 3821
YLR044C 86 303
YGR192C 87 392
YHR174W 87 4655
YLR044C 87 931
YGR192C 88 4001
YHR174W 88 1242
YLR044C 88 323
YGR192C 89 1584
YHR174W 89 2607
YLR044C 89 38779
YGR192C 90 0
YHR174W 90 476
YLR044C 90 3431
YGR192C 91 401
YHR174W 91 820
YLR044C 91 833
YGR192C 92 3420
YHR174W 92 8281
YLR044C 92 1680
YGR192C 93 1653
YHR174W 93 535
YLR044C 93 840
YGR192C 94 161
YHR174W 94 804
YLR044C 94 1998
YGR192C 95 80710
YHR174W 95 1691
YLR044C 95 0
YGR192C 96 222
YHR174W 96 732
YLR044C 96 365
YGR192C 97 3389
YHR174W 97 5396
YLR044C 97 7074
YGR192C 98 9335
YHR174W 98 4346
YLR044C 98 0
YGR192C 99 0
YHR174W 99 3371
YLR044C 99 0
YGR192C 100 48
YHR174W 100 571
YLR044C 100 1352
YGR192C 101 18807
YHR174W 101 1022
YLR044C 101 96
YGR192C 102 13085
YHR174W 102 383
YLR044C 102 1215
YGR192C 103 463
YHR174W 103 969
YLR044C 103 14610
YGR192C 104 1943
YHR174W 104 7958
YLR044C 104 373
YGR192C 105 350
YHR174W 105 7086
YLR044C 105 86
YGR192C 106 1710
YHR174W 106 1331
YLR044C 106 339
YGR192C 107 691
YHR174W 107 3169
YLR044C 107 2840
YGR192C 108 14799
YHR174W 108 1493
YLR044C 108 2710
YGR192C 109 1918
YHR174W 109 2303
YLR044C 109 7718
YGR192C 110 572
YHR174W 110 1902
YLR044C 110 4153
YGR192C 111 2058
YHR174W 111 418
YLR044C 111 579
YGR192C 112 1093
YHR174W 112 196
YLR044C 112 597
YGR192C 113 10912
YHR174W 113 1883
YLR044C 113 741
YGR192C 114 384
YHR174W 114 475
YLR044C 114 4022
YGR192C 115 15875
YHR174W 115 22281
YLR044C 115 928
YGR192C 116 492
YHR174W 116 2842
YLR044C 116 2873
YGR192C 117 0
YHR174W 117 947
YLR044C 117 493
YGR192C 118 0
YHR174W 118 206
YLR044C 118 1248
YGR192C 119 560
YHR174W 119 441
YLR044C 119 181
YGR192C 120 1912
YHR174W 120 12402
YLR044C 120 7832
YGR192C 121 1937
YHR174W 121 4082
YLR044C 121 7729
YGR192C 122 4071
YHR174W 122 160
YLR044C 122 309
YGR192C 123 444
YHR174W 123 900
YLR044C 123 192
YGR192C 124 4195
YHR174W 124 583
YLR044C 124 0
YGR192C 125 5724
YHR174W 125 988
YLR044C 125 8773
YGR192C 126 564
YHR174W 126 1307
YLR044C 126 322
YGR192C 127 12964
YHR174W 127 910
YLR044C 127 6233
YGR192C 128 11162
YHR174W 128 220
YLR044C 128 4181
YGR192C 129 2661
YHR174W 129 1921
YLR044C 129 278
YGR192C 130 2011
YHR174W 130 301
YLR044C 130 84
YGR192C 131 3012
YHR174W 131 4688
YLR044C 131 1000
YGR192C 132 6772
YHR174W 132 1205
YLR044C 132 125
YGR192C 133 0
YHR174W 133 43391
YLR044C 133 5543
YGR192C 134 487
YHR174W 134 2765
YLR044C 134 3247
YGR192C 135 3887
YHR174W 135 1003
YLR044C 135 353
YGR192C 136 23835
YHR174W 136 1865
YLR044C 136 644
YGR192C 137 534
YHR174W 137 2138
YLR044C 137 1747
YGR192C 138 2285
YHR174W 138 1431
YLR044C 138 2566
YGR192C 139 573
YHR174W 139 5129
YLR044C 139 260
YGR192C 140 14506
YHR174W 140 338
YLR044C 140 2138
YGR192C 141 3906
YHR174W 141 818
YLR044C 141 9672
YGR192C 142 233
YHR174W 142 2256
YLR044C 142 22
YGR192C 143 6214
YHR174W 143 799
YLR044C 143 6784
YGR192C 144 548
YHR174W 144 6426
YLR044C 144 1535
YGR192C 145 0
YHR174W 145 5882
YLR044C 145 1168
YGR192C 146 585
YHR174W 146 0
YLR044C 146 731
YGR192C 147 2537
YHR174W 147 3202
YLR044C 147 3110
YGR192C 148 1383
YHR174W 148 7543
YLR044C 148 837
YGR192C 149 2364
YHR174W 149 0
YLR044C 149 178
YGR192C 150 1161
YHR174W 150 7709
YLR044C 150 1720
YGR192C 151 2844
YHR174W 151 5326
YLR044C 151 3341
YGR192C 152 2322
YHR174W 152 216
YLR044C 152 596
YGR192C 153 16997
YHR174W 153 1604
YLR044C 153 168
YGR192C 154 3561
YHR174W 154 0
YLR044C 154 9260
YGR192C 155 1403
YHR174W 155 3020
YLR044C 155 97
YGR192C 156 4216
YHR174W 156 1713
YLR044C 156 1086
YGR192C 157 35100
YHR174W 157 5049
YLR044C 157 14060
YGR192C 158 1743
YHR174W 158 2367
YLR044C 158 1195
YGR192C 159 1807
YHR174W 159 27662
YLR044C 159 935
YGR192C 160 1752
YHR174W 160 823
YLR044C 160 4909
YGR192C 161 0
YHR174W 161 492
YLR044C 161 9624
YGR192C 162 2872
YHR174W 162 61854
YLR044C 162 1209
YGR192C 163 3795
YHR174W 163 1020
YLR044C 163 5906
YGR192C 164 998
YHR174W 164 1697
YLR044C 164 9981
YGR192C 165 1526
YHR174W 165 1290
YLR044C 165 574
YGR192C 166 465
YHR174W 166 10613
YLR044C 166 2663
YGR192C 167 14973
YHR174W 167 379
YLR044C 167 2835
YGR192C 168 63
YHR174W 168 443
YLR044C 168 2427
YGR192C 169 36293
YHR174W 169 926
YLR044C 169 831
YGR192C 170 11249
YHR174W 170 201
YLR044C 170 1421
YGR192C 171 1691
YHR174W 171 402
YLR044C 171 198
YGR192C 172 2714
YHR174W 172 29
YLR044C 172 136
YGR192C 173 7086
YHR174W 173 444
YLR044C 173 2514
YGR192C 174 270
YHR174W 174 2439
YLR044C 174 588
YGR192C 175 921
YHR174W 175 2249
YLR044C 175 283
YGR192C 176 641
YHR174W 176 25440
YLR044C 176 805
YGR192C 177 1254
YHR174W 177 1928
YLR044C 177 1132
YGR192C 178 5964
YHR174W 178 1031
YLR044C 178 925
YGR192C 179 4832
YHR174W 179 2792
YLR044C 179 5199
YGR192C 180 4784
YHR174W 180 1797
YLR044C 180 473
YGR192C 181 949
YHR174W 181 335
YLR044C 181 10958
YGR192C 182 2956
YHR174W 182 835
YLR044C 182 2358
YGR192C 183 7338
YHR174W 183 976
YLR044C 183 365
YGR192C 184 3569
YHR174W 184 6861
YLR044C 184 5137
YGR192C 185 5497
YHR174W 185 3541
YLR044C 185 22
YGR192C 186 0
YHR174W 186 69
YLR044C 186 460
YGR192C 187 11432
YHR174W 187 740
YLR044C 187 690
YGR192C 188 3364
YHR174W 188 1402
YLR044C 188 1631
YGR192C 189 10721
YHR174W 189 15308
YLR044C 189 2085
YGR192C 190 7586
YHR174W 190 0
YLR044C 190 10623
YGR192C 191 3757
YHR174W 191 4383
YLR044C 191 365
YGR192C 192 868
YHR174W 192 913
YLR044C 192 6100
YGR192C 193 84114
YHR174W 193 1158
YLR044C 193 3794
YGR192C 194 22636
YHR174W 194 733
YLR044C 194 199
YGR192C 195 16577
YHR174W 195 3268
YLR044C 195 3075
YGR192C 196 6022
YHR174W 196 300
YLR044C 196 1739
YGR192C 197 11596
YHR174W 197 3432
YLR044C 197 1095
YGR192C 198 3370
YHR174W 198 2008
YLR044C 198 25885
YGR192C 199 2784
YHR174W 199 10434
YLR044C 199 7525
YGR192C 200 472
YHR174W 200 6388
YLR044C 200 89
YGR192C 201 775
YHR174W 201 6472
YLR044C 201 118
YGR192C 202 1492
YHR174W 202 1176
YLR044C 202 2729
YGR192C 203 514
YHR174W 203 21540
YLR044C 203 773
YGR192C 204 5335
YHR174W 204 1201
YLR044C 204 408
YGR192C 205 1445
YHR174W 205 1010
YLR044C 205 865
YGR192C 206 20116
YHR174W 206 595
YLR044C 206 2688
YGR192C 207 3310
YHR174W 207 5717
YLR044C 207 173
YGR192C 208 1524
YHR174W 208 15535
YLR044C 208 1155
YGR192C 209 2820
YHR174W 209 280
YLR044C 209 6914
YGR192C 210 16404
YHR174W 210 10512
YLR044C 210 2480
YGR192C 211 2914
YHR174W 211 1908
YLR044C 211 194
YGR192C 212 5685
YHR174W 212 2177
YLR044C 212 898
YGR192C 213 9467
YHR174W 213 1988
YLR044C 213 206
YGR192C 214 6799
YHR174W 214 37304
YLR044C 214 7044
YGR192C 215 697
YHR174W 215 0
YLR044C 215 0
YGR192C 216 2579
YHR174W 216 107
YLR044C 216 4646
YGR192C 217 3075
YHR174W 217 51015
YLR044C 217 1123
YGR192C 218 912
YHR174W 218 1003
YLR044C 218 579
YGR192C 219 791
YHR174W 219 16
YLR044C 219 5234
YGR192C 220 4710
YHR174W 220 1084
YLR044C 220 440
YGR192C 221 4066
YHR174W 221 452
YLR044C 221 2643
YGR192C 222 2530
YHR174W 222 1544
YLR044C 222 1603
YGR192C 223 927
YHR174W 223 1607
YLR044C 223 328
YGR192C 224 11349
YHR174W 224 8513
YLR044C 224 889
YGR192C 225 6836
YHR174W 225 449
YLR044C 225 13786
YGR192C 226 1079
YHR174W 226 4564
YLR044C 226 980
YGR192C 227 3199
YHR174W 227 1894
YLR044C 227 219
YGR192C 228 2220
YHR174W 228 436
YLR044C 228 2872
YGR192C 229 3232
YHR174W 229 72
YLR044C 229 960
YGR192C 230 1425
YHR174W 230 0
YLR044C 230 4022
YGR192C 231 360
YHR174W 231 1578
YLR044C 231 8066
YGR192C 232 23158
YHR174W 232 258
YLR044C 232 28984
YGR192C 233 869
YHR174W 233 2500
YLR044C 233 4978
YGR192C 234 70939
YHR174W 234 10115
YLR044C 234 335
YGR192C 235 334
YHR174W 235 340
YLR044C 235 45
YGR192C 236 407
YHR174W 236 172
YLR044C 236 6649
YGR192C 237 3187
YHR174W 237 36565
YLR044C 237 1084
YGR192C 238 263
YHR174W 238 9272
YLR044C 238 1380
YGR192C 239 4088
YHR174W 239 3460
YLR044C 239 584
YGR192C 240 0
YHR174W 240 1757
YLR044C 240 1138
YGR192C 241 0
YHR174W 241 2817
YLR044C 241 323
YGR192C 242 4589
YHR174W 242 246
YLR044C 242 990
YGR192C 243 9136
YHR174W 243 2419
YLR044C 243 1537
YGR192C 244 2067
YHR174W 244 16230
YLR044C 244 423
YGR192C 245 822
YHR174W 245 67050
YLR044C 245 1657
YGR192C 246 3557
YHR174W 246 1283
YLR044C 246 9404
YGR192C 247 190
YHR174W 247 1210
YLR044C 247 796
YGR192C 248 2332
YHR174W 248 1855
YLR044C 248 900
YGR192C 249 14328
YHR174W 249 1580
YLR044C 249 3119
YGR192C 250 1975
YHR174W 250 1511
YLR044C 250 12028
YGR192C 251 2486
YHR174W 251 137
YLR044C 251 1447
YGR192C 252 611
YHR174W 252 669
YLR044C 252 655
YGR192C 253 1503
YHR174W 253 2341
YLR044C 253 427
YGR192C 254 9172
YHR174W 254 196
YLR044C 254 2140
YGR192C 255 1897
YHR174W 255 7422
YLR044C 255 597
YGR192C 256 6096
YHR174W 256 6576
YLR044C 256 6667
YGR192C 257 11803
YHR174W 257 1142
YLR044C 257 16613
YGR192C 258 6798
YHR174W 258 8714
YLR044C 258 504
YGR192C 259 0
YHR174W 259 4102
YLR044C 259 24845
YGR192C 260 0
YHR174W 260 3233
YLR044C 260 6304
YGR192C 261 9025
YHR174W 261 314
YLR044C 261 8817
YGR192C 262 2630
YHR174W 262 39418
YLR044C 262 0
YGR192C 263 966
YHR174W 263 790
YLR044C 263 2861
YGR192C 264 715
YHR174W 264 2096
YLR044C 264 895
YGR192C 265 1039
YHR174W 265 9336
YLR044C 265 32752
YGR192C 266 9339
YHR174W 266 7362
YLR044C 266 370
YGR192C 267 3218
YHR174W 267 369
YLR044C 267 572
YGR192C 268 865
YHR174W 268 784
YLR044C 268 661
YGR192C 269 7212
YHR174W 269 4982
YLR044C 269 21711
YGR192C 270 1772
YHR174W 270 2262
YLR044C 270 5724
YGR192C 271 0
YHR174W 271 2579
YLR044C 271 7678
YGR192C 272 2341
YHR174W 272 2112
YLR044C 272 0
YGR192C 273 2878
YHR174W 273 38407
YLR044C 273 3934
YGR192C 274 7079
YHR174W 274 324
YLR044C 274 3011
YGR192C 275 731
YHR174W 275 1330
YLR044C 275 641
YGR192C 276 1794
YHR174W 276 4958
YLR044C 276 0
YGR192C 277 887
YHR174W 277 825
YLR044C 277 2030
YGR192C 278 209
YHR174W 278 1094
YLR044C 278 590
YGR192C 279 0
YHR174W 279 323
YLR044C 279 158
YGR192C 280 4006
YHR174W 280 2410
YLR044C 280 2805
YGR192C 281 1621
YHR174W 281 1205
YLR044C 281 1152
YGR192C 282 1274
YHR174W 282 657
YLR044C 282 23
YGR192C 283 61224
YHR174W 283 2760
YLR044C 283 4390
YGR192C 284 517
YHR174W 284 3637
YLR044C 284 216
YGR192C 285 604
YHR174W 285 706
YLR044C 285 140
YGR192C 286 13322
YHR174W 286 433
YLR044C 286 6250
YGR192C 287 7635
YHR174W 287 15836
YLR044C 287 1377
YGR192C 288 168
YHR174W 288 1678
YLR044C 288 258
YGR192C 289 6077
YHR174W 289 10149
YLR044C 289 1293
YGR192C 290 1066
YHR174W 290 8820
YLR044C 290 263
YGR192C 291 555
YHR174W 291 2770
YLR044C 291 4066
YGR192C 292 239
YHR174W 292 572
YLR044C 292 246
YGR192C 293 3181
YHR174W 293 659
YLR044C 293 171
YGR192C 294 2616
YHR174W 294 1010
YLR044C 294 285
YGR192C 295 5101
YHR174W 295 1265
YLR044C 295 4047
YGR192C 296 3007
YHR174W 296 5820
YLR044C 296 89
YGR192C 297 2897
YHR174W 297 5137
YLR044C 297 362
YGR192C 298 7964
YHR174W 298 2084
YLR044C 298 341
YGR192C 299 1598
YHR174W 299 1189
YLR044C 299 11398
YGR192C 300 10306
YHR174W 300 2261
YLR044C 300 357
YGR192C 301 3881
YHR174W 301 3687
YLR044C 301 4476
YGR192C 302 777
YHR174W 302 2876
YLR044C 302 962
YGR192C 303 2452
YHR174W 303 7106
YLR044C 303 2313
YGR192C 304 14053
YHR174W 304 24725
YLR044C 304 1886
YGR192C 305 2193
YHR174W 305 589
YLR044C 305 2191
YGR192C 306 1739
YHR174W 306 228
YLR044C 306 24
YGR192C 307 10149
YHR174W 307 6668
YLR044C 307 1234
YGR192C 308 5410
YHR174W 308 2020
YLR044C 308 6622
YGR192C 309 1217
YHR174W 309 6942
YLR044C 309 877
YGR192C 310 940
YHR174W 310 80
YLR044C 310 1564
YGR192C 311 19525
YHR174W 311 899
YLR044C 311 2533
YGR192C 312 6142
YHR174W 312 1801
YLR044C 312 1125
YGR192C 313 2899
YHR174W 313 1615
YLR044C 313 2780
YGR192C 314 425
YHR174W 314 559
YLR044C 314 2643
YGR192C 315 7786
YHR174W 315 6755
YLR044C 315 5918
YGR192C 316 3183
YHR174W 316 1293
YLR044C 316 2504
YGR192C 317 2601
YHR174W 317 2427
YLR044C 317 2485
YGR192C 318 68815
YHR174W 318 252
YLR044C 318 1596
YGR192C 319 1703
YHR174W 319 0
YLR044C 319 5691
YGR192C 320 21744
YHR174W 320 224
YLR044C 320 1215
YGR192C 321 9276
YHR174W 321 5292
YLR044C 321 1037
YGR192C 322 0
YHR174W 322 4111
YLR044C 322 2767
YGR192C 323 308
YHR174W 323 2763
YLR044C 323 1251
YGR192C 324 12696
YHR174W 324 449
YLR044C 324 5478
YGR192C 325 8108
YHR174W 325 195
YLR044C 325 5729
YGR192C 326 0
YHR174W 326 178
YLR044C 326 447
YGR192C 327 1611
YHR174W 327 3397
YLR044C 327 3784
YGR192C 328 2572
YHR174W 328 7702
YLR044C 328 323
YGR192C 329 0
YHR174W 329 2027
YLR044C 329 0
YGR192C 330 1442
YHR174W 330 2561
YLR044C 330 1990
YGR192C 331 1262
YHR174W 331 126
YLR044C 331 8952
YGR192C 332 0
YHR174W 332 900
YLR044C 332 324
YGR192C 333 0
YHR174W 333 2652
YLR044C 333 1593
YHR174W 334 460
YLR044C 334 1285
YHR174W 335 833
YLR044C 335 177
YHR174W 336 7197
YLR044C 336 356
YHR174W 337 1060
YLR044C 337 88
YHR174W 338 17054
YLR044C 338 169
YHR174W 339 679
YLR044C 339 1313
YHR174W 340 2341
YLR044C 340 1798
YHR174W 341 3799
YLR044C 341 1868
YHR174W 342 429
YLR044C 342 11747
YHR174W 343 2636
YLR044C 343 1220
YHR174W 344 223
YLR044C 344 832
YHR174W 345 549
YLR044C 345 48480
YHR174W 346 998
YLR044C 346 3325
YHR174W 347 0
YLR044C 347 0
YHR174W 348 277
YLR044C 348 172
YHR174W 349 808
YLR044C 349 200
YHR174W 350 543
YLR044C 350 7228
YHR174W 351 3339
YLR044C 351 1008
YHR174W 352 544
YLR044C 352 1241
YHR174W 353 497
YLR044C 353 311
YHR174W 354 1014
YLR044C 354 2556
YHR174W 355 5899
YLR044C 355 1513
YHR174W 356 2010
YLR044C 356 312
YHR174W 357 3484
YLR044C 357 338
YHR174W 358 3114
YLR044C 358 2147
YHR174W 359 1785
YLR044C 359 864
YHR174W 360 147
YLR044C 360 1559
YHR174W 361 5952
YLR044C 361 314
YHR174W 362 7279
YLR044C 362 3768
YHR174W 363 870
YLR044C 363 523
YHR174W 364 273
YLR044C 364 1827
YHR174W 365 776
YLR044C 365 1769
YHR174W 366 608
YLR044C 366 1910
YHR174W 367 523
YLR044C 367 3695
YHR174W 368 37790
YLR044C 368 7235
YHR174W 369 890
YLR044C 369 7750
YHR174W 370 0
YLR044C 370 2677
YHR174W 371 998
YLR044C 371 11746
YHR174W 372 0
YLR044C 372 300
YHR174W 373 3188
YLR044C 373 1505
YHR174W 374 427
YLR044C 374 4550
YHR174W 375 1833
YLR044C 375 26490
YHR174W 376 4277
YLR044C 376 370
YHR174W 377 1185
YLR044C 377 392
YHR174W 378 3890
YLR044C 378 2130
YHR174W 379 771
YLR044C 379 4193
YHR174W 380 3330
YLR044C 380 359
YHR174W 381 8053
YLR044C 381 1589
YHR174W 382 340
YLR044C 382 2750
YHR174W 383 126
YLR044C 383 0
YHR174W 384 322
YLR044C 384 229
YHR174W 385 244
YLR044C 385 94
YHR174W 386 3948
YLR044C 386 728
YHR174W 387 5089
YLR044C 387 302
YHR174W 388 0
YLR044C 388 3840
YHR174W 389 1384
YLR044C 389 1115
YHR174W 390 1447
YLR044C 390 3811
YHR174W 391 353
YLR044C 391 454
YHR174W 392 6741
YLR044C 392 187
YHR174W 393 270
YLR044C 393 1957
YHR174W 394 1616
YLR044C 394 2985
YHR174W 395 2718
YLR044C 395 3070
YHR174W 396 481
YLR044C 396 1178
YHR174W 397 1594
YLR044C 397 1501
YHR174W 398 3429
YLR044C 398 229
YHR174W 399 929
YLR044C 399 699
YHR174W 400 526
YLR044C 400 1075
YHR174W 401 7971
YLR044C 401 2787
YHR174W 402 1343
YLR044C 402 2619
YHR174W 403 14070
YLR044C 403 3168
YHR174W 404 814
YLR044C 404 2734
YHR174W 405 525
YLR044C 405 626
YHR174W 406 9960
YLR044C 406 5419
YHR174W 407 409
YLR044C 407 462
YHR174W 408 407
YLR044C 408 740
YHR174W 409 9142
YLR044C 409 10702
YHR174W 410 1378
YLR044C 410 360
YHR174W 411 1003
YLR044C 411 6965
YHR174W 412 3761
YLR044C 412 14999
YHR174W 413 219
YLR044C 413 8215
YHR174W 414 1359
YLR044C 414 772
YHR174W 415 1867
YLR044C 415 67
YHR174W 416 447
YLR044C 416 4185
YHR174W 417 6754
YLR044C 417 5052
YHR174W 418 5310
YLR044C 418 95
YHR174W 419 851
YLR044C 419 1220
YHR174W 420 823
YLR044C 420 12390
YHR174W 421 8481
YLR044C 421 302
YHR174W 422 2671
YLR044C 422 223
YHR174W 423 3649
YLR044C 423 2523
YHR174W 424 1163
YLR044C 424 10391
YHR174W 425 1324
YLR044C 425 408
YHR174W 426 502
YLR044C 426 282
YHR174W 427 85
YLR044C 427 1957
YHR174W 428 6875
YLR044C 428 529
YHR174W 429 837
YLR044C 429 89
YHR174W 430 857
YLR044C 430 794
YHR174W 431 1085
YLR044C 431 815
YHR174W 432 35342
YLR044C 432 16
YHR174W 433 3269
YLR044C 433 3066
YHR174W 434 725
YLR044C 434 2261
YHR174W 435 995
YLR044C 435 736
YHR174W 436 8653
YLR044C 436 2242
YHR174W 437 0
YLR044C 437 6625
YHR174W 438 0
YLR044C 438 0
YLR044C 439 2534
YLR044C 440 1054
YLR044C 441 1169
YLR044C 442 26
YLR044C 443 1125
YLR044C 444 5660
YLR044C 445 3171
YLR044C 446 772
YLR044C 447 3458
YLR044C 448 347
YLR044C 449 145
YLR044C 450 11119
YLR044C 451 0
YLR044C 452 511
YLR044C 453 620
YLR044C 454 1479
YLR044C 455 3003
YLR044C 456 768
YLR044C 457 1466
YLR044C 458 882
YLR044C 459 3635
YLR044C 460 21380
YLR044C 461 15028
YLR044C 462 7147
YLR044C 463 6505
YLR044C 464 2838
YLR044C 465 12374
YLR044C 466 69
YLR044C 467 177
YLR044C 468 697
YLR044C 469 1702
YLR044C 470 1167
YLR044C 471 1145
YLR044C 472 559
YLR044C 473 2459
YLR044C 474 2629
YLR044C 475 549
YLR044C 476 69
YLR044C 477 19313
YLR044C 478 18498
YLR044C 479 586
YLR044C 480 89
YLR044C 481 9682
YLR044C 482 354
YLR044C 483 3723
YLR044C 484 1201
YLR044C 485 2050
YLR044C 486 854
YLR044C 487 22994
YLR044C 488 2036
YLR044C 489 2699
YLR044C 490 37
YLR044C 491 1153
YLR044C 492 4366
YLR044C 493 10012
YLR044C 494 25667
YLR044C 495 6657
YLR044C 496 1583
YLR044C 497 1021
YLR044C 498 260
YLR044C 499 195
YLR044C 500 10947
YLR044C 501 1327
YLR044C 502 1652
YLR044C 503 2710
YLR044C 504 194
YLR044C 505 3205
YLR044C 506 6240
YLR044C 507 471
YLR044C 508 2844
YLR044C 509 305
YLR044C 510 2732
YLR044C 511 1037
YLR044C 512 1644
YLR044C 513 2689
YLR044C 514 2675
YLR044C 515 1102
YLR044C 516 4300
YLR044C 517 1087
YLR044C 518 6837
YLR044C 519 6430
YLR044C 520 11642
YLR044C 521 935
YLR044C 522 208
YLR044C 523 7943
YLR044C 524 216
YLR044C 525 8595
YLR044C 526 151
YLR044C 527 1683
YLR044C 528 450
YLR044C 529 2416
YLR044C 530 1744
YLR044C 531 925
YLR044C 532 873
YLR044C 533 472
YLR044C 534 39547
YLR044C 535 1993
YLR044C 536 224
YLR044C 537 2903
YLR044C 538 1980
YLR044C 539 1097
YLR044C 540 7393
YLR044C 541 12473
YLR044C 542 59
YLR044C 543 958
YLR044C 544 14273
YLR044C 545 275
