Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cellular_state,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,molecule_subtype,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain_background
SRR6441626,RNA-Seq,51,1230661263,PRJNA428526,SAMN08294573,538220420,non-meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532861,GSM2913146,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913146,yeast cells,SRP128065,SK1
SRR6441627,RNA-Seq,51,1246143894,PRJNA428526,SAMN08294573,547529895,non-meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532861,GSM2913146,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913146,yeast cells,SRP128065,SK1
SRR6441628,RNA-Seq,50,820811650,PRJNA428526,SAMN08294573,323652623,non-meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532861,GSM2913146,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ribosome footprints,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913146,yeast cells,SRP128065,SK1
SRR6441629,RNA-Seq,51,1782595044,PRJNA428526,SAMN08294572,687001820,vegetative exponential OD600=0.6,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532862,GSM2913147,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913147,yeast cells,SRP128065,SK1
SRR6441630,RNA-Seq,51,584835921,PRJNA428526,SAMN08294571,315742658,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532863,GSM2913148,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913148,yeast cells,SRP128065,SK1
SRR6441631,RNA-Seq,51,584582910,PRJNA428526,SAMN08294571,317950030,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532863,GSM2913148,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913148,yeast cells,SRP128065,SK1
SRR6441632,RNA-Seq,50,1362138550,PRJNA428526,SAMN08294571,539482439,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532863,GSM2913148,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913148,yeast cells,SRP128065,SK1
SRR6441633,RNA-Seq,50,508105450,PRJNA428526,SAMN08294570,208582879,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532864,GSM2913149,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913149,yeast cells,SRP128065,SK1
SRR6441634,RNA-Seq,50,430147000,PRJNA428526,SAMN08294570,168580948,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532864,GSM2913149,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913149,yeast cells,SRP128065,SK1
SRR6441635,RNA-Seq,50,1031633900,PRJNA428526,SAMN08294569,406241575,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532865,GSM2913150,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913150,yeast cells,SRP128065,SK1
SRR6441636,RNA-Seq,50,746670950,PRJNA428526,SAMN08294568,296069389,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532866,GSM2913151,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913151,yeast cells,SRP128065,SK1
SRR6441637,RNA-Seq,50,544576050,PRJNA428526,SAMN08294566,215415418,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532867,GSM2913152,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913152,yeast cells,SRP128065,SK1
SRR6441638,RNA-Seq,50,775013850,PRJNA428526,SAMN08294565,309807595,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532868,GSM2913153,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913153,yeast cells,SRP128065,SK1
SRR6441639,RNA-Seq,50,676064050,PRJNA428526,SAMN08294564,266536204,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532869,GSM2913154,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913154,yeast cells,SRP128065,SK1
SRR6441640,RNA-Seq,50,475906650,PRJNA428526,SAMN08294567,191348507,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532870,GSM2913155,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913155,yeast cells,SRP128065,SK1
SRR6441641,RNA-Seq,50,353982650,PRJNA428526,SAMN08294617,141526264,non-meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532871,GSM2913156,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913156,yeast cells,SRP128065,SK1
SRR6441642,RNA-Seq,51,7731096987,PRJNA428526,SAMN08294616,3905597503,vegetative exponential OD600=0.6,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532872,GSM2913157,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913157,yeast cells,SRP128065,SK1
SRR6441643,RNA-Seq,50,1533728650,PRJNA428526,SAMN08294615,641195063,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532873,GSM2913158,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913158,yeast cells,SRP128065,SK1
SRR6441644,RNA-Seq,50,1804634750,PRJNA428526,SAMN08294615,776668128,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532873,GSM2913158,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913158,yeast cells,SRP128065,SK1
SRR6441645,RNA-Seq,50,1813884350,PRJNA428526,SAMN08294615,782974528,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532873,GSM2913158,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913158,yeast cells,SRP128065,SK1
SRR6441646,RNA-Seq,50,1748271900,PRJNA428526,SAMN08294614,721848611,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532874,GSM2913159,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913159,yeast cells,SRP128065,SK1
SRR6441647,RNA-Seq,50,2039588500,PRJNA428526,SAMN08294614,869959866,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532874,GSM2913159,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913159,yeast cells,SRP128065,SK1
SRR6441648,RNA-Seq,50,2051127800,PRJNA428526,SAMN08294614,877234075,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532874,GSM2913159,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913159,yeast cells,SRP128065,SK1
SRR6441649,RNA-Seq,50,1328482950,PRJNA428526,SAMN08294613,554057289,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532875,GSM2913160,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913160,yeast cells,SRP128065,SK1
SRR6441650,RNA-Seq,50,1587530300,PRJNA428526,SAMN08294613,681155429,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532875,GSM2913160,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913160,yeast cells,SRP128065,SK1
SRR6441651,RNA-Seq,50,1596308600,PRJNA428526,SAMN08294613,686990404,meiotic cells in sporulation medium,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3532875,GSM2913160,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,mRNA,Saccharomyces cerevisiae,ILLUMINA,2018-02-22T00:00:00Z,GSM2913160,yeast cells,SRP128065,SK1
